ID,Dag,Maand,Jaar,Tijd,Plaats,Buurt,Straat,Poging,Opgelost
2012398604-1,5,7,2012,10,ROTTERDAM,2-BLIJDORP,VAN AERSSENLAAN,N,N
2012399287-1,5,7,2012,21,ROTTERDAM,9-GROOT IJSSELMONDE,PRINSENPLEIN,N,N
2012400163-1,6,7,2012,20,ROTTERDAM,5-OUDE NOORDEN,ZWART JANSTRAAT,N,N
2012400408-1,6,7,2012,20,ROTTERDAM,7-OOSTERFLANK,WATERMANWEG,N,J
2012400774-1,6,7,2012,21,ROTTERDAM,5-MIDDELLAND,SCHIETBAANLAAN,N,N
2012401408-1,7,7,2012,22,ROTTERDAM,7-PENDRECHT,RILLAND BATHSTRAAT,N,N
2012406643-1,7,7,2012,5,SPIJKENISSE,7-VOGELENZANG-ZUID,VOGELENZANGLAAN,N,N
2012408375-1,7,7,2012,15,ROTTERDAM,2-CARNISSE,PLEINWEG,N,N
2012401354-1,8,7,2012,2,ROTTERDAM,4-NIEUWE WESTEN,HEEMRAADSPLEIN,N,J
2012401415-1,8,7,2012,1,ROTTERDAM,9-GROOT IJSSELMONDE,KROMME HAGEN,N,N
2012401607-1,8,7,2012,1,ROTTERDAM,4-NIEUWE WESTEN,MATHENESSERPLEIN,N,N
2012401923-1,8,7,2012,18,ROTTERDAM,1-BLOEMHOF,HILLEVLIET,N,N
2012403224-1,8,7,2012,13,ROTTERDAM,3-SPANGEN,MATHENESSERDIJK,J,N
2012419314-1,8,7,2012,17,ROTTERDAM,5-MIDDELLAND,ESSENBURGSINGEL,N,J
2012402075-1,9,7,2012,24,ROTTERDAM,1-BLOEMHOF,BLOEMHOF,N,N
2012402086-1,9,7,2012,1,ROTTERDAM,5-MIDDELLAND,NIEUWE BINNENWEG,N,J
2012403638-1,9,7,2012,18,ROTTERDAM,0-VREEWIJK,LANGEGEER,N,N
2012404417-1,10,7,2012,19,ROTTERDAM,8-ZUIDERPARK,ZUIDERPARKWEG,N,N
2012405108-1,11,7,2012,13,ROTTERDAM,2-HILLESLUIS,BEIJERLANDSELAAN,J,N
2012405367-1,11,7,2012,17,ROTTERDAM,2-HILLESLUIS,SCHILDSTRAAT,N,N
2012405453-1,11,7,2012,18,ROTTERDAM,7-STRUISENBURG,BUIZENWERF,N,N
