ID,Datu,m,,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2012389817-1,27,06,2012,WO,15:43,15:43,ROTTERDAM,DISTRICT 9,8-Aug,0-VREEWIJK,5-5,VAANWEG,,N,N,m
2012393246-1,27,06,2012,WO,16:30,17:00,ROTTERDAM,DISTRICT 6,4-Apr,9-HET LAGE LAND,3-3,LAGELANDSEPAD,3067XC,N,N,m
2012390249-1,28,06,2012,DO,1:40,2:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,5-5,MATHENESSERLAAN,3023GL,N,N,v
2012396077-1,28,06,2012,DO,22:30,22:45,ROTTERDAM,DISTRICT 6,4-Apr,3-KRALINGSE BOS,0-0,BOSDREEF,3062CA,N,N,m
2012392297-1,29,06,2012,VR,17:20,17:20,SPIJKENISSE,DISTRICT 11,5-WATERLAND,5-SNOEKENVEEN,5-PC 5,SNOEKENVEEN,,N,J,m
2012392350-1,29,06,2012,VR,18:00,18:30,ROTTERDAM,DISTRICT 3,2-Feb,3-SPANGEN,3-3,MATHENESSERDIJK,3027BK,N,N,m
2012392396-1,29,06,2012,VR,18:00,18:00,ROTTERDAM,DISTRICT 9,8-Aug,0-VREEWIJK,4-4,DALWEG,3075LR,N,N,v
2012392448-1,29,06,2012,VR,16:00,16:00,ROTTERDAM,DISTRICT 10,7-Jul,4-OUD CHARLOIS,1-1,KAREL DE STOUTEPLEIN,,N,N,v
2012392588-1,29,06,2012,VR,22:40,22:40,ROTTERDAM,DISTRICT 6,4-Apr,2-KRALINGEN OOST,4-4,OOSTZEEDIJK BENEDEN,,N,N,v
2012393101-1,29,06,2012,VR,17:20,17:20,SPIJKENISSE,DISTRICT 11,5-WATERLAND,5-SNOEKENVEEN,5-PC 5,GADDIJK,,N,N,m
2012394795-1,29,06,2012,VR,16:15,16:30,SPIJKENISSE,DISTRICT 11,9-HEKELINGEN/BUITENGEBIED,9-BUITENGEBIED OVERIG,5-PC 5,HEEMRAADLAAN,,N,N,v
2012399843-1,29,06,2012,VR,15:00,20:00,ROTTERDAM,DISTRICT 6,6-Jun,6-ZEVENKAMP,5-5,CHARLIE SHAVERSLAAN,3069XC,N,N,m
2012392711-1,30,06,2012,ZA,2:20,2:20,ROTTERDAM,DISTRICT 9,8-Aug,7-FEIJENOORD,3-3,PERSOONSHAVEN,3071CG,N,N,m
2012393137-1,30,06,2012,ZA,15:53,15:53,ROTTERDAM,DISTRICT 5,1-Jan,6-PROVENIERSWIJK,0-0,HARDDRAVERSTRAAT,,N,N,m
2012393288-1,30,06,2012,ZA,18:30,18:30,ROTTERDAM,DISTRICT 3,2-Feb,3-SPANGEN,2-2,MATHENESSERDIJK,3027AL,N,N,v
2012393313-1,30,06,2012,ZA,19:25,19:25,HOOGVLIET ROTTERDAM,DISTRICT 10,9-Sep,9-HOOGVLIET ZUID,8-8,LANGS DE BAAN,3191TP,N,J,m
2012396243-1,30,06,2012,ZA,13:45,14:00,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,6-6,GROENE HILLEDIJK,3074AG,N,N,v
2012399748-1,30,06,2012,ZA,0:45,1:00,ROTTERDAM,DISTRICT 3,2-Feb,0-DELFSHAVEN,3-3,WILLEM BUYTEWECHSTRAAT,3024BP,N,N,m
2012394015-1,1,07,2012,ZO,16:55,17:05,SCHIEDAM,DISTRICT 2,5-ZUID C,2-CENTRUM,0-CENTRUM-CENTRAAL,LANGE KERKSTRAAT,,N,J,m
2012397323-1,1,07,2012,ZO,5:00,5:30,ROTTERDAM,DISTRICT 6,6-Jun,7-OOSTERFLANK,2-2,TRONDHEIMPAD,3067DM,N,N,v
2012394292-1,2,07,2012,MA,0:26,0:40,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,2-2,GROENE TUIN,3078KG,N,J,v
2012395146-1,2,07,2012,MA,15:50,15:55,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,3-3,THOLENSTRAAT,3086TN,N,J,v
2012395541-1,3,07,2012,DI,0:30,0:45,ROTTERDAM,DISTRICT 6,4-Apr,3-KRALINGSE BOS,4-4,PLASZOOM,3062CL,N,N,m
2012396405-1,3,07,2012,DI,15:45,15:45,ROTTERDAM,DISTRICT 6,4-Apr,9-HET LAGE LAND,3-3,PRINSENLAAN,,J,J,m
2012396680-1,3,07,2012,DI,21:00,21:15,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,2-2,GROTE HAGEN,,N,N,m
2012398286-1,3,07,2012,DI,0:55,1:10,ROTTERDAM,DISTRICT 6,4-Apr,3-KRALINGSE BOS,4-4,PLASZOOM,3062CL,N,N,m
2012399026-1,3,07,2012,DI,0:30,0:30,ROTTERDAM,DISTRICT 6,4-Apr,3-KRALINGSE BOS,4-4,PLASZOOM,3062CL,N,N,m
2012404053-1,3,07,2012,DI,21:30,21:35,ROTTERDAM,DISTRICT 5,1-Jan,6-PROVENIERSWIJK,0-0,SPOORSINGEL,3033GH,N,N,v
2012397907-1,4,07,2012,WO,16:00,16:15,ROTTERDAM,DISTRICT 3,2-Feb,2-TUSSENDIJKE,3-3,NOORDSCHANS,3026VX,N,N,v
2012397972-1,4,07,2012,WO,20:00,20:00,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,7-7,SANDELINGSTRAAT,3073AV,N,N,v
2012398040-1,4,07,2012,WO,23:00,0:30,ROTTERDAM,DISTRICT 5,5-May,8-BLIJDORPSE POLDER,1-1,ROEL LANGERAKWEG,3041JK,N,J,m
2012399653-1,4,07,2012,WO,15:00,15:00,ROTTERDAM,DISTRICT 9,9-Sep,0-BEVERWAARD,2-2,HERINCKHAVESTRAAT,3077RJ,N,N,m
2012403137-1,4,07,2012,WO,18:50,19:15,CAPELLE AAN DEN IJSSEL,DISTRICT 6,6-MIDDELWATERING OOST,4-MERELBUURT OOST,4-MERELBUURT OOST,WIEKSLAG,,N,N,m
2012404880-1,4,07,2012,WO,23:00,23:30,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,0-0,MEVLANAPLEIN,3022EP,N,J,m
2012430317-1,4,07,2012,WO,22:50,23:00,ROTTERDAM,DISTRICT 5,5-May,8-BLIJDORPSE POLDER,1-1,ROEL LANGERAKPARK (PARK),,J,J,m
