ID,Dag,Maand,Jaar,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2011213949-1,17,07,2011,ZO,3:00,4:00,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,1-1,STADHUISPLEIN,3012AS,Bewolking,Bewolking,m
2011214349-1,17,07,2011,ZO,21:00,21:15,SCHIEDAM,DISTRICT 2,5-ZUID C,6-NIEUWLAND-OOST,7-NIEUWLAND-7,PARKWEG,,Bewolking,Bewolking,v
2011219016-1,18,07,2011,MA,8:15,8:45,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,6-6,VIERAMBACHTSSTRAAT,,Bewolking,Bewolking,m
2011215198-1,19,07,2011,DI,1:20,1:50,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,1-1,BEUKELSDIJK,3021AK,Bewolking,J,v
2011215285-1,19,07,2011,DI,7:02,7:02,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,9-9,REYERDIJK,,Bewolking,J,v
2011215380-1,19,07,2011,DI,7:05,7:05,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,9-9,REYERDIJK,,Bewolking,Bewolking,v
2011215564-1,19,07,2011,DI,5:00,5:00,ROTTERDAM,DISTRICT 10,7-Jul,6-ZUIDPLEIN,2-2,TWENTESTRAAT,,Bewolking,J,v
2011216029-1,19,07,2011,DI,16:25,16:30,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,3-3,MIDDELLANDPLEIN,3021BT,Bewolking,J,v
2011216031-1,19,07,2011,DI,6:20,6:20,ROTTERDAM,DISTRICT 9,1-Jan,7-KOP VAN ZUID,0-0,WILHELMINAKADE,3072AR,Bewolking,J,m
2011216038-1,19,07,2011,DI,16:00,16:30,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,6-6,HOGE BOEZEM,3061CM,Bewolking,J,m
2011216039-1,19,07,2011,DI,16:30,16:30,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,6-6,HOGE BOEZEM,3061CM,Bewolking,J,v
2011216049-1,19,07,2011,DI,16:00,17:00,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,6-6,HOGE BOEZEM,,Bewolking,J,m
2011216059-1,19,07,2011,DI,2:30,3:30,ROTTERDAM,DISTRICT 9,8-Aug,6-AFRIKAANDERWIJK,3-3,PAUL KRUGERSTRAAT,3072GH,Bewolking,Bewolking,m
2011216079-1,19,07,2011,DI,16:00,16:00,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,6-6,HOGE BOEZEM,3061CM,Bewolking,J,m
2011216084-1,19,07,2011,DI,16:00,17:00,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,6-6,HOGE BOEZEM,3061CM,Bewolking,J,m
2011216425-1,19,07,2011,DI,6:50,6:50,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,9-9,REYERDIJK,,Bewolking,J,v
2011219014-1,19,07,2011,DI,23:00,23:05,VLAARDINGEN,DISTRICT 1,7-WIJK 7,1-HOOFDSTEDENBUURT,0-HOOFDSTEDENBUURT,OVER DE DAMMEN,,Bewolking,Bewolking,v
2011227852-1,19,07,2011,DI,6:20,6:20,ROTTERDAM,DISTRICT 9,,,,ZUIDERSPOORSTRAAT,,,Bewolking,v
2011216970-1,20,07,2011,WO,11:30,11:45,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,5-HORDIJKER,KREILEROORD,,Bewolking,Bewolking,v
2011217317-1,20,07,2011,WO,17:15,17:30,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,2-2,DADELTUIN,3078LD,J,Bewolking,v
2011225735-1,20,07,2011,WO,13:45,14:00,ROTTERDAM,DISTRICT 9,8-Aug,0-VREEWIJK,1-1,VALKENIERSWEG,3075AZ,Bewolking,Bewolking,m
2011217603-1,21,07,2011,DO,7:50,7:50,ROTTERDAM,DISTRICT 3,2-Feb,7-OUD MATHENESSE,1-1,FRANSELAAN,3028AD,Bewolking,J,m
2011218687-1,21,07,2011,DO,23:00,23:15,ROTTERDAM,DISTRICT 3,2-Feb,2-TUSSENDIJKE,3-3,NOORDSCHANS,3026VX,Bewolking,Bewolking,m
2011219165-1,22,07,2011,VR,14:00,14:15,SCHIEDAM,DISTRICT 2,6-ZUID D,1-OOST,7-OOST-7,BROERSVEST,,Bewolking,Bewolking,v
2011219393-1,22,07,2011,VR,17:30,17:30,ROTTERDAM,DISTRICT 10,7-Jul,6-ZUIDPLEIN,1-1,GOOILANDSINGEL,3083DP,Bewolking,Bewolking,m
2012339832-1,22,07,2011,VR,22:45,22:45,HELLEVOETSLUIS,DISTRICT 11,1-WIJK 4 / HKS WIJK 1,1-KOOISTEE KANAALZIJDE,4-VLOTBRUG,TRAMBAANPAD,,Bewolking,Bewolking,m
2011220917-1,24,07,2011,ZO,22:00,22:10,ROTTERDAM,DISTRICT 10,7-Jul,2-CARNISSE,3-3,URKERSINGEL,3083ST,Bewolking,Bewolking,m
2011221746-1,25,07,2011,MA,15:30,15:45,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,2-2,HENEGOUWERPLEIN,3021PM,Bewolking,Bewolking,m
2011221892-1,25,07,2011,MA,21:06,21:06,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,7-7,MALDENBURG,3085KG,Bewolking,J,m
2011221956-1,25,07,2011,MA,21:30,21:30,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,7-7,KAPELBURG,,J,J,m
2011221995-1,26,07,2011,DI,1:20,1:20,SCHIEDAM,DISTRICT 2,6-ZUID D,6-OOST (GRENS NIEUWLAND),5-OOST-01,'S-GRAVELANDSEWEG,,Bewolking,Bewolking,m
2011222015-1,26,07,2011,DI,2:00,2:05,ROTTERDAM,DISTRICT 10,9-Sep,9-HOOGVLIET ZUID,8-8,WELHOEKSEDIJK,3191LE,Bewolking,Bewolking,m
2011223680-1,27,07,2011,WO,10:45,10:50,ROTTERDAM,DISTRICT 9,8-Aug,7-FEIJENOORD,3-3,ORANJEBOOMSTRAAT,3071SX,Bewolking,Bewolking,m
2011223821-1,27,07,2011,WO,19:41,19:41,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,3-3,MARINUS VAN DER STOEPSTR,3061PD,Bewolking,Bewolking,v
2011224595-1,27,07,2011,WO,11:50,11:55,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,2-2,VAARNERKAMP,3085GX,Bewolking,J,v
2011226487-1,29,07,2011,VR,22:00,22:30,ROTTERDAM,DISTRICT 10,7-Jul,2-CARNISSE,6-6,PLEINWEG,3083EG,Bewolking,Bewolking,m
2011226680-1,29,07,2011,VR,21:00,21:01,SCHIEDAM,DISTRICT 2,1-NOORD A,9-SPALAND/WOUDHOEK/PLEINE,5-SPALAND-5,HAZEPAD,,Bewolking,Bewolking,m
2011228103-1,29,07,2011,VR,22:30,22:30,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,2-2,NIEUWE BINNENWEG,3014GD,Bewolking,Bewolking,v
2011227343-1,30,07,2011,ZA,17:00,18:00,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,3-3,COOLSINGEL,3012AG,Bewolking,Bewolking,v
2011238418-1,30,07,2011,ZA,22:30,22:45,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,1-1,COOLSINGEL,3012AE,Bewolking,Bewolking,m
2011227490-1,31,07,2011,ZO,15:30,15:45,ROTTERDAM,DISTRICT 9,8-Aug,4-LOMBARDIJEN,4-4,MOLENVLIET,3076CM,Bewolking,Bewolking,v
2011227559-1,31,07,2011,ZO,18:00,18:00,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,6-6,GROENE KRUISWEG,3088NB,Bewolking,Bewolking,v
2011227744-1,1,082,011,MA,1:15,1:15,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,0-0,COOLSINGEL,3011AD,Bewolking,Bewolking,v
2011228221-1,1,082,011,MA,0:05,1:00,ROTTERDAM,DISTRICT 3,1-Jan,9-DIJKZIGT,4-4,ROCHUSSENSTRAAT,3015ZC,Bewolking,Bewolking,m
2011229474-1,2,082,011,DI,12:20,12:20,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,1-1,GRAAF FLORISSTRAAT,3021CC,Bewolking,J,v
2011229630-1,2,082,011,DI,12:00,12:00,ROTTERDAM,DISTRICT 10,9-Sep,9-HOOGVLIET ZUID,1-1,AVELING,,Bewolking,Bewolking,m
2011231599-1,2,082,011,DI,20:30,21:15,ROTTERDAM,DISTRICT 3,2-Feb,1-BOSPOLDER,1-1,ROSIER FAASSENSTRAAT,3025GH,Bewolking,J,v
2011230666-1,3,082,011,WO,15:19,15:19,ROTTERDAM,DISTRICT 6,6-Jun,7-OOSTERFLANK,0-0,PRINS ALEXANDERLAAN,3068PN,Bewolking,J,v
2011231201-1,4,082,011,DO,8:00,8:10,ROTTERDAM,DISTRICT 5,3-Mar,5-OUDE NOORDEN,3-3,VLETSTRAAT,3036ZJ,Bewolking,J,v
2011231517-1,4,082,011,DO,13:20,13:20,ROTTERDAM,DISTRICT 9,7-Jul,9-ZONDER NAAM,0-0,LODEWIJK PINCOFFSWEG,3071AS,Bewolking,Bewolking,v
2011233434-1,4,082,011,DO,21:30,22:00,ROTTERDAM,DISTRICT 3,5-May,1-KLEINPOLDER,3-3,VAN ADRICHEMWEG,3042RW,Bewolking,Bewolking,v
2011232311-1,5,082,011,VR,9:00,9:00,SCHIEDAM,DISTRICT 2,6-ZUID D,1-OOST,5-OOST-5,LORENTZLAAN,3112KR,Bewolking,J,v
2011233056-1,5,082,011,VR,20:35,20:55,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,1-1,COOLSINGEL,3011AE,Bewolking,Bewolking,m
2011233812-1,5,082,011,VR,23:30,23:40,VLAARDINGEN,DISTRICT 1,1-WIJK 1,1-CENTRUM,0-CENTRUM,GROEN VAN PRINSTERERSTR,3131GD,Bewolking,J,m
2011233374-1,6,082,011,ZA,5:00,5:00,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,1-1,KRUISKADE,3012EE,Bewolking,Bewolking,m
2011233952-1,6,082,011,ZA,22:15,22:30,ROTTERDAM,DISTRICT 5,3-Mar,2-BLIJDORP,8-8,SCHIEWEG,,Bewolking,Bewolking,v
2011235421-1,6,082,011,ZA,13:00,14:00,ROTTERDAM,DISTRICT 3,2-Feb,2-TUSSENDIJKE,0-0,HARINGPAKKERSSTRAAT,3026TE,Bewolking,J,v
2011234232-1,7,082,011,ZO,8:45,8:45,ROTTERDAM,DISTRICT 6,1-Jan,4-RUBROEK,5-5,HERMAN ROBBERSSTRAAT,3031RE,Bewolking,D,v
2011235707-1,8,082,011,MA,18:13,18:13,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,0-0,ESPELO,3085MD,Bewolking,Bewolking,v
2011236788-1,8,082,011,MA,19:00,19:00,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,4-4,JAN VAN VUCHTSTRAAT,3021KA,Bewolking,J,m
2011236556-1,9,082,011,DI,14:15,14:30,POORTUGAAL,DISTRICT 10,0-DORP,5-CENTRUM,0-CENTRUM,DORPSSTRAAT,3171EE,Bewolking,J,m
2011236843-1,9,082,011,DI,20:41,20:41,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,6-6,ROCHUSSENSTRAAT,3021NW,Bewolking,Bewolking,v
2011236864-1,9,082,011,DI,21:45,21:50,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,6-6,OOSTPLEIN,3063CE,Bewolking,Bewolking,m
2011238189-1,9,082,011,DI,16:30,16:30,ROTTERDAM,DISTRICT 3,5-May,1-KLEINPOLDER,1-1,SIDELINGEPARK (PARK),,Bewolking,Bewolking,m
2011236963-1,10,08,2011,WO,3:17,3:17,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,5-5,'S-GRAVENDIJKWAL,3021EJ,Bewolking,Bewolking,m
2011237349-1,10,08,2011,WO,12:00,12:00,ROTTERDAM,DISTRICT 10,7-Jul,2-CARNISSE,4-4,DORPSWEG,3082LM,Bewolking,Bewolking,v
